Feature,Scaler_Min,Scaler_Max
gender,0.0,1.0
SeniorCitizen,0.0,0.6931471805599453
Partner,0.0,1.0
Dependents,0.0,1.0
tenure,0.0,72.0
PhoneService,0.0,1.0
PaperlessBilling,0.0,1.0
MonthlyCharges,18.25,118.75
TotalCharges,18.8,8684.8
MultipleLines,0.24962908011869436,0.2842682412484184
InternetService,0.07125506072874493,0.4160196158561504
OnlineSecurity,0.07125506072874493,0.4190886257624686
OnlineBackup,0.07125506072874493,0.4018844735764031
DeviceProtection,0.07125506072874493,0.39295831647106433
TechSupport,0.07125506072874493,0.4200434153400868
StreamingTV,0.07125506072874493,0.34017857142857144
StreamingMovies,0.07125506072874493,0.34041591320072334
Contract,0.026470588235294117,0.42787996127783157
PaymentMethod,0.14955537590945836,0.4566258648217137
